livello,regione,provincia,comune,zona,periodo,vendita_media_eur_m2,vendita_min_eur_m2,vendita_max_eur_m2,url
zona,Abruzzo,Pescara,Pescara,"Tiburtina, Aeroporto",Febbraio 2026,1485.0,921.0,1496.0,https://www.immobiliare.it/mercato-immobiliare/abruzzo/pescara/tiburtina-aeroporto/
zona,Abruzzo,Pescara,Pescara,"Porta Nuova, Stadio",Febbraio 2026,2110.0,1704.0,2302.0,https://www.immobiliare.it/mercato-immobiliare/abruzzo/pescara/porta-nuova-stadio/
zona,Abruzzo,Pescara,Pescara,Zona San Silvestro,Febbraio 2026,1851.0,1223.0,2358.0,https://www.immobiliare.it/mercato-immobiliare/abruzzo/pescara/zona-san-silvestro/
zona,Abruzzo,Pescara,Pescara,"Tirino, Fontanelle",Febbraio 2026,1452.0,1099.0,1481.0,https://www.immobiliare.it/mercato-immobiliare/abruzzo/pescara/tirino-fontanelle/
zona,Abruzzo,Pescara,Pescara,"Colli, Ospedale",Febbraio 2026,1499.0,1299.0,1820.0,https://www.immobiliare.it/mercato-immobiliare/abruzzo/pescara/colli-ospedale/
zona,Abruzzo,Pescara,Pescara,"Lungomare Nord, Viale Bovio",Febbraio 2026,2579.0,2364.0,3057.0,https://www.immobiliare.it/mercato-immobiliare/abruzzo/pescara/lungomare-nord-viale-bovio/
zona,Abruzzo,Pescara,Pescara,"Pineta, Colle Santo Spirito",Febbraio 2026,2195.0,1667.0,2964.0,https://www.immobiliare.it/mercato-immobiliare/abruzzo/pescara/pineta-colle-santo-spirito/
zona,Abruzzo,Pescara,Pescara,Centro,Febbraio 2026,2726.0,2541.0,3064.0,https://www.immobiliare.it/mercato-immobiliare/abruzzo/pescara/centro-citta/
