CAP,VIA
65127,Corso Gabriele Manthone
65127,Largo Dei Frentani
65127,Piazza Dell Unione
65127,Piazza Emilio Alessandrini
65127,Piazza Giuseppe Garibaldi
65127,Piazza Ovidio
65127,Piazza San Luigi Gonzaga
65127,Piazzale Vittoria Colonna
65127,Via Adriano Publio Vezio
65127,Via Arnaldo Da Brescia
65127,Via Attilio Monti
65127,Via Caio Asinio Pollione
65127,Via Catone
65127,Via Catullo
65127,Via Cecco Angiolieri
65127,Via Cincinnato
65127,Via Conte Di Ruvo
65127,Via Corfinio
65127,Via Degli Equi
65127,Via Dei Bastioni
65127,Via Dei Gracchi
65127,Via Dei Marruccini
65127,Via Dei Marsi
65127,Via Dei Peligni
65127,Via Dei Pretuzi
65127,Via Dei Sabini
65127,Via Dei Sanniti
65127,Via Dei Teatini
65127,Via Delle Caserme
65127,Via Ennio Flaiano
65127,Via Fidia
65127,Via Gerolamo Savonarola
65127,Via Gioacchino Da Fiore
65127,Via Italica
65127,Via Muzio Attendolo Sforza
65127,Via Omero
65127,Via Petronio
65127,Via Properzio
65127,Via Sallustio
65127,Via San Benedetto Da Norcia
65127,Via San Francesco D'Assisi
65127,Via Scipione L'Africano
65127,Via Seneca
65127,Via Socrate
65127,Via Spartaco
65127,Via Tibullo
65127,Via Tommaso Da Celano
65127,Via Virgilio Marone Publio
65127,Viale Gabriele D'Annunzio
65127,Viale Guglielmo Marconi
65127,Viale Pindaro
65127,Viale Vittoria Colonna
